"","ï..Time","Latitude","Longitude","doy","BulNum"
"731","2019-05-01 03:00:32",-18.2495333333333,26.2733666666667,121,"1"
"739","2019-05-01 03:00:32",-18.1827333333333,25.9918,121,"3"
"41","2019-05-01 03:00:32",-17.9507333333333,25.8195666666667,121,"4"
"42","2019-05-01 03:00:32",-17.9992166666667,25.7966,121,"5"
"45","2019-05-01 03:00:32",-17.9082666666667,25.8597166666667,121,"6"
"727","2019-05-01 07:00:32",-18.2463333333333,26.2741,121,"1"
"81","2019-05-01 07:00:32",-17.9522833333333,25.81135,121,"4"
"82","2019-05-01 07:00:32",-18.0085666666667,25.80785,121,"5"
"85","2019-05-01 07:00:32",-17.9022833333333,25.8549,121,"6"
"735","2019-05-01 07:00:33",-18.17725,25.9477,121,"3"
"723","2019-05-01 11:00:32",-18.23485,26.2662333333333,121,"1"
"7311","2019-05-01 11:00:32",-18.1678666666667,25.9137166666667,121,"3"
"121","2019-05-01 11:00:32",-17.94725,25.80665,121,"4"
"122","2019-05-01 11:00:32",-17.99975,25.8079166666667,121,"5"
"125","2019-05-01 11:00:32",-17.8989833333333,25.8506833333333,121,"6"
"719","2019-05-01 15:00:32",-18.2339166666667,26.2623666666667,121,"1"
"4","2019-05-01 15:00:32",-17.9730666666667,25.8437833333333,121,"2"
"161","2019-05-01 15:00:32",-17.94765,25.8087666666667,121,"4"
"162","2019-05-01 15:00:32",-18.0089,25.80875,121,"5"
"165","2019-05-01 15:00:32",-17.8855666666667,25.8523833333333,121,"6"
"7271","2019-05-01 15:00:40",-18.1611166666667,25.903,121,"3"
"715","2019-05-01 19:00:32",-18.22295,26.2476,121,"1"
"7231","2019-05-01 19:00:32",-18.1375666666667,25.87865,121,"3"
"201","2019-05-01 19:00:32",-17.9431333333333,25.8404666666667,121,"4"
"205","2019-05-01 19:00:32",-17.8734166666667,25.8520166666667,121,"6"
"202","2019-05-01 19:00:33",-18.0022166666667,25.8107,121,"5"
"711","2019-05-01 23:00:32",-18.2170666666667,26.2411666666667,121,"1"
"7191","2019-05-01 23:00:32",-18.1343833333333,25.8193,121,"3"
"241","2019-05-01 23:00:32",-17.9502,25.8306166666667,121,"4"
"242","2019-05-01 23:00:32",-18.0094,25.8087833333333,121,"5"
"245","2019-05-01 23:00:32",-17.8802166666667,25.84275,121,"6"
"707","2019-05-02 03:00:32",-18.2109666666667,26.2477166666667,122,"1"
"7151","2019-05-02 03:00:32",-18.1279666666667,25.8232666666667,122,"3"
"281","2019-05-02 03:00:32",-17.9573,25.8169666666667,122,"4"
"282","2019-05-02 03:00:32",-18.0093333333333,25.8088166666667,122,"5"
"285","2019-05-02 03:00:32",-17.8758,25.8328833333333,122,"6"
"703","2019-05-02 07:00:32",-18.21575,26.24495,122,"1"
"8","2019-05-02 07:00:32",-17.973,25.8437833333333,122,"2"
"7111","2019-05-02 07:00:32",-18.1519666666667,25.93025,122,"3"
"322","2019-05-02 07:00:32",-18.0073166666667,25.8078333333333,122,"5"
"325","2019-05-02 07:00:32",-17.8939333333333,25.8272666666667,122,"6"
"321","2019-05-02 07:00:33",-17.9513833333333,25.8077166666667,122,"4"
"699","2019-05-02 11:00:32",-18.2173333333333,26.2398833333333,122,"1"
"7071","2019-05-02 11:00:32",-18.15955,25.9440166666667,122,"3"
"361","2019-05-02 11:00:32",-17.9411666666667,25.8038666666667,122,"4"
"362","2019-05-02 11:00:32",-17.9987833333333,25.8071666666667,122,"5"
"365","2019-05-02 11:00:32",-17.8860166666667,25.8114666666667,122,"6"
"7031","2019-05-02 15:00:32",-18.1552,25.942,122,"3"
"401","2019-05-02 15:00:32",-17.9413666666667,25.8053666666667,122,"4"
"402","2019-05-02 15:00:32",-18.00625,25.8105166666667,122,"5"
"405","2019-05-02 15:00:32",-17.8874,25.8159,122,"6"
"695","2019-05-02 15:01:03",-18.2051833333333,26.2613,122,"1"
"6991","2019-05-02 19:00:32",-18.1381166666667,25.9415166666667,122,"3"
"441","2019-05-02 19:00:32",-17.9534,25.8126,122,"4"
"442","2019-05-02 19:00:32",-18.00475,25.8097333333333,122,"5"
"445","2019-05-02 19:00:32",-17.89045,25.8380666666667,122,"6"
"691","2019-05-02 19:00:53",-18.22665,26.2851333333333,122,"1"
"687","2019-05-02 23:00:32",-18.2230833333333,26.2869833333333,122,"1"
"12","2019-05-02 23:00:32",-17.9273833333333,25.8203833333333,122,"2"
"6951","2019-05-02 23:00:32",-18.1353666666667,25.9337666666667,122,"3"
"481","2019-05-02 23:00:32",-17.9585333333333,25.8262,122,"4"
"482","2019-05-02 23:00:32",-18.0026,25.8088333333333,122,"5"
"485","2019-05-02 23:00:32",-17.8933166666667,25.8386833333333,122,"6"
"683","2019-05-03 03:00:32",-18.2174333333333,26.2804,123,"1"
"6911","2019-05-03 03:00:32",-18.1378333333333,25.9321666666667,123,"3"
"521","2019-05-03 03:00:32",-17.9573,25.817,123,"4"
"522","2019-05-03 03:00:32",-18.0043333333333,25.8082666666667,123,"5"
"525","2019-05-03 03:00:32",-17.8937333333333,25.8365333333333,123,"6"
"562","2019-05-03 07:00:32",-18.0075666666667,25.8077,123,"5"
"565","2019-05-03 07:00:32",-17.8952333333333,25.82935,123,"6"
"679","2019-05-03 07:01:03",-18.2208833333333,26.2797666666667,123,"1"
"6871","2019-05-03 07:01:03",-18.1492166666667,25.9306333333333,123,"3"
"561","2019-05-03 07:01:33",-17.9556,25.80115,123,"4"
"675","2019-05-03 11:00:32",-18.22455,26.2632833333333,123,"1"
"6831","2019-05-03 11:00:32",-18.1710666666667,25.9370166666667,123,"3"
"602","2019-05-03 11:00:32",-17.99895,25.8060833333333,123,"5"
"605","2019-05-03 11:00:32",-17.8944666666667,25.84255,123,"6"
"601","2019-05-03 11:00:33",-17.9433166666667,25.7862166666667,123,"4"
"16","2019-05-03 15:00:32",-17.9166833333333,25.84045,123,"2"
"6791","2019-05-03 15:00:32",-18.1802166666667,25.9402,123,"3"
"642","2019-05-03 15:00:32",-18.0071833333333,25.81035,123,"5"
"645","2019-05-03 15:00:32",-17.8954166666667,25.84505,123,"6"
"671","2019-05-03 15:00:34",-18.233,26.2739333333333,123,"1"
"641","2019-05-03 15:01:28",-17.9347333333333,25.78995,123,"4"
"667","2019-05-03 19:00:32",-18.2268166666667,26.28905,123,"1"
"6751","2019-05-03 19:00:32",-18.1586833333333,25.9073166666667,123,"3"
"685","2019-05-03 19:00:32",-17.9093166666667,25.8628166666667,123,"6"
"682","2019-05-03 19:00:33",-18.0017333333333,25.8084166666667,123,"5"
"681","2019-05-03 19:00:50",-17.9370666666667,25.80605,123,"4"
"663","2019-05-03 23:00:32",-18.2384333333333,26.2907,123,"1"
"6711","2019-05-03 23:00:32",-18.15905,25.86675,123,"3"
"721","2019-05-03 23:00:32",-17.9346333333333,25.8100166666667,123,"4"
"722","2019-05-03 23:00:32",-18.0052,25.8093,123,"5"
"725","2019-05-03 23:00:32",-17.91875,25.8831166666667,123,"6"
"659","2019-05-04 03:00:32",-18.2397,26.2919,124,"1"
"6671","2019-05-04 03:00:32",-18.1404166666667,25.8809166666667,124,"3"
"763","2019-05-04 03:00:32",-17.93355,25.8079166666667,124,"4"
"767","2019-05-04 03:00:32",-18.0086833333333,25.8073,124,"5"
"7610","2019-05-04 03:00:32",-17.9115833333333,25.8823166666667,124,"6"
"20","2019-05-04 07:00:32",-17.9198333333333,25.8323833333333,124,"2"
"8010","2019-05-04 07:00:32",-17.8961,25.85185,124,"6"
"807","2019-05-04 07:01:02",-18.0124166666667,25.7928833333333,124,"5"
"6631","2019-05-04 07:01:03",-18.1477333333333,25.9103166666667,124,"3"
