Classification,LATITUDE,LONGITUDE,,,,
City,-17.93615094,25.80828913,,,,
City,-17.93598082,25.81205298,,,,
City,-17.93764937,25.81149997,,,,
City,-17.93796800,25.80865662,,,,
City,-17.93847305,25.80835286,,,,
City,-17.94204739,25.80846984,,,,
City,-17.94234530,25.81093517,,,,
City,-17.94397406,25.81119788,,,,
City,-17.94402983,25.80931900,,,,
City,-17.95158517,25.81007099,,,,
City,-17.95147226,25.81688795,,,,
City,-17.95073996,25.81852694,,,,
City,-17.94958333,25.81946218,,,,
City,-17.95035030,25.82125282,,,,
City,-17.95190331,25.82196063,,,,
City,-17.95258258,25.82407275,,,,
City,-17.95406489,25.82466330,,,,
City,-17.95416045,25.82565182,,,,
City,-17.95503803,25.82674400,,,,
City,-17.95599420,25.82926346,,,,
City,-17.95474573,25.83170642,,,,
City,-17.95359817,25.83089277,,,,
City,-17.95190658,25.83182254,,,,
City,-17.94959649,25.83188212,,,,
City,-17.94802754,25.83223700,,,,
City,-17.94568957,25.83323575,,,,
City,-17.94308670,25.83395070,,,,
City,-17.93935530,25.83466133,,,,
City,-17.93946971,25.83645901,,,,
City,-17.93897755,25.83751013,,,,
City,-17.93904417,25.83881363,,,,
City,-17.93729994,25.83981121,,,,
City,-17.93600104,25.83988750,,,,
City,-17.93616727,25.84099311,,,,
City,-17.93431649,25.84150277,,,,
City,-17.93414800,25.84283134,,,,
City,-17.93316085,25.84306155,,,,
City,-17.93179994,25.84495428,,,,
City,-17.93021130,25.84387572,,,,
City,-17.92928199,25.84347567,,,,
City,-17.92709044,25.84414650,,,,
City,-17.92643109,25.84346801,,,,
City,-17.92684158,25.84280012,,,,
City,-17.92631171,25.84223262,,,,
City,-17.92543609,25.84238852,,,,
City,-17.92494111,25.84156767,,,,
City,-17.92307228,25.84189202,,,,
City,-17.92203266,25.83850828,,,,
City,-17.92135030,25.83820670,,,,
City,-17.92012728,25.83415608,,,,
City,-17.92144037,25.83176923,,,,
City,-17.92100407,25.83094212,,,,
City,-17.92244758,25.82929018,,,,
City,-17.92048699,25.82375788,,,,
City,-17.92022096,25.82285012,,,,
City,-17.91831199,25.82030781,,,,
City,-17.91646693,25.82087931,,,,
City,-17.91638211,25.81939043,,,,
City,-17.91548735,25.81873698,,,,
City,-17.91634791,25.81658535,,,,
City,-17.91937071,25.81713639,,,,
City,-17.92145361,25.81472928,,,,
City,-17.92411759,25.81525614,,,,
City,-17.92488765,25.81523628,,,,
City,-17.92482356,25.81212208,,,,
City,-17.92334001,25.81090728,,,,
City,-17.92408017,25.81057849,,,,
City,-17.92473271,25.81057119,,,,
City,-17.92497762,25.80942136,,,,
City,-17.92811181,25.80989791,,,,
City,-17.92843132,25.80767879,,,,
City,-17.92862344,25.80659694,,,,
City,-17.93120469,25.80688281,,,,
City,-17.93247700,25.80836994,,,,
City,-17.93309255,25.80736766,,,,
City,-17.93531509,25.80762938,,,,
City,-17.93615094,25.80828913,,,,
River,-17.95157460,25.86108313,,,,
River,-17.95188383,25.86093934,,,,
River,-17.95332732,25.86016241,,,,
River,-17.95461735,25.85961846,,,,
River,-17.95687207,25.85772154,,,,
River,-17.95888863,25.85703478,,,,
River,-17.96153920,25.85653910,,,,
River,-17.96321059,25.85675552,,,,
River,-17.96530128,25.85664716,,,,
River,-17.96724313,25.85640988,,,,
River,-17.96910460,25.85838357,,,,
River,-17.96928955,25.86155271,,,,
River,-17.97171712,25.86127401,,,,
River,-17.97333086,25.85766590,,,,
River,-17.97408912,25.85540667,,,,
River,-17.97483799,25.85509818,,,,
River,-17.97553292,25.85689967,,,,
River,-17.97591363,25.85798494,,,,
River,-17.97685827,25.85817562,,,,
River,-17.97689952,25.85959866,,,,
River,-17.97617643,25.86141442,,,,
River,-17.97611102,25.86324432,,,,
River,-17.97569064,25.86611349,,,,
River,-17.97542434,25.86902258,,,,
River,-17.97483004,25.87034852,,,,
River,-17.97557620,25.87221649,,,,
River,-17.97541323,25.87409487,,,,
River,-17.97503764,25.87521640,,,,
River,-17.97533103,25.87660337,,,,
River,-17.97558511,25.87876077,,,,
River,-17.97596626,25.88042514,,,,
River,-17.97623040,25.87910405,,,,
River,-17.97641970,25.87619635,,,,
River,-17.97682463,25.87839135,,,,
River,-17.97746613,25.87656263,,,,
River,-17.97835403,25.87627857,,,,
River,-17.97772582,25.87836867,,,,
River,-17.97684776,25.88048098,,,,
River,-17.97644396,25.88202398,,,,
River,-17.97612515,25.88324216,,,,
River,-17.97524977,25.88596505,,,,
River,-17.97516152,25.88412332,,,,
River,-17.97480489,25.88299127,,,,
River,-17.97501385,25.88156838,,,,
River,-17.97350929,25.88387747,,,,
River,-17.97215387,25.88466539,,,,
River,-17.97207089,25.88246673,,,,
River,-17.97304288,25.88158281,,,,
River,-17.97301757,25.88262142,,,,
River,-17.97372666,25.88053963,,,,
River,-17.97367093,25.87886890,,,,
River,-17.97300350,25.87921810,,,,
River,-17.97330286,25.87807419,,,,
River,-17.97296401,25.87684886,,,,
River,-17.97355038,25.87429282,,,,
River,-17.97345960,25.87084923,,,,
River,-17.97384541,25.86937483,,,,
River,-17.97398680,25.86756844,,,,
River,-17.97424419,25.86341407,,,,
River,-17.97477670,25.86074362,,,,
River,-17.97413670,25.85905420,,,,
River,-17.97127433,25.86424704,,,,
River,-17.96942779,25.86328004,,,,
River,-17.96759757,25.86284921,,,,
River,-17.96786762,25.86052127,,,,
River,-17.96611526,25.85876533,,,,
River,-17.96194904,25.85827919,,,,
River,-17.95700184,25.85956989,,,,
River,-17.95397603,25.86206934,,,,
River,-17.95103994,25.86252170,,,,
River,-17.95078691,25.86367086,,,,
River,-17.94985150,25.86213695,,,,
River,-17.94953659,25.86260900,,,,
River,-17.94910596,25.86095808,,,,
River,-17.94889529,25.85992814,,,,
River,-17.94821869,25.85994058,,,,
River,-17.94769038,25.85938120,,,,
River,-17.94848529,25.85873761,,,,
River,-17.94855261,25.85829629,,,,
River,-17.94802949,25.85845379,,,,
River,-17.94775514,25.85765790,,,,
River,-17.94742551,25.85725553,,,,
River,-17.94705538,25.85663574,,,,
River,-17.94701234,25.85513328,,,,
River,-17.94583781,25.85386455,,,,
River,-17.94568873,25.85294433,,,,
River,-17.94484458,25.85243836,,,,
River,-17.94439898,25.84946084,,,,
River,-17.94314839,25.84690574,,,,
River,-17.94064112,25.84797532,,,,
River,-17.94018555,25.84705649,,,,
River,-17.93921773,25.84762718,,,,
River,-17.93748023,25.84686743,,,,
River,-17.93735807,25.84816106,,,,
River,-17.93635513,25.85040133,,,,
River,-17.93571271,25.85278723,,,,
River,-17.93426047,25.85647087,,,,
River,-17.93286080,25.85869974,,,,
River,-17.93207136,25.86011758,,,,
River,-17.93085444,25.85975104,,,,
River,-17.93095892,25.85780536,,,,
River,-17.93112779,25.85651088,,,,
River,-17.93029659,25.85568379,,,,
River,-17.92969226,25.85544056,,,,
River,-17.92997354,25.85384332,,,,
River,-17.93066689,25.85293197,,,,
River,-17.93072404,25.85144406,,,,
River,-17.93085057,25.84986340,,,,
River,-17.93043774,25.84868685,,,,
River,-17.92987489,25.84871081,,,,
River,-17.93022986,25.84944402,,,,
River,-17.92971993,25.84921239,,,,
River,-17.92949686,25.85077569,,,,
River,-17.92951491,25.85191047,,,,
River,-17.92889998,25.85633487,,,,
River,-17.92928667,25.85642093,,,,
River,-17.92943803,25.85715032,,,,
River,-17.92886517,25.85772026,,,,
River,-17.92806724,25.85936840,,,,
River,-17.92639271,25.85884940,,,,
River,-17.92606815,25.85942604,,,,
River,-17.92619277,25.86079657,,,,
River,-17.92713443,25.86361466,,,,
River,-17.92660604,25.86420369,,,,
River,-17.92596717,25.86311180,,,,
River,-17.92464175,25.86332840,,,,
River,-17.92293084,25.86336348,,,,
River,-17.92067271,25.86252657,,,,
River,-17.91762508,25.86341213,,,,
River,-17.91643589,25.86424901,,,,
River,-17.91417093,25.86504876,,,,
River,-17.91192441,25.86489378,,,,
River,-17.91132670,25.86299363,,,,
River,-17.91147514,25.86177497,,,,
River,-17.91083477,25.85979869,,,,
River,-17.91002741,25.85936272,,,,
River,-17.90928201,25.85937586,,,,
River,-17.90830274,25.85895846,,,,
River,-17.90767099,25.85839056,,,,
River,-17.90780253,25.85775750,,,,
River,-17.90681952,25.85600964,,,,
River,-17.90449694,25.85487267,,,,
River,-17.90315665,25.85181394,,,,
River,-17.90105538,25.85086537,,,,
River,-17.89915609,25.84978576,,,,
River,-17.89715582,25.84932250,,,,
River,-17.89459219,25.84719175,,,,
River,-17.89078619,25.84491105,,,,
River,-17.88968095,25.84481391,,,,
River,-17.88775084,25.84303894,,,,
River,-17.88584449,25.84104742,,,,
River,-17.88457307,25.83755069,,,,
River,-17.88415453,25.83325772,,,,
River,-17.88389299,25.82938919,,,,
River,-17.88318679,25.82664708,,,,
River,-17.88321340,25.81859296,,,,
River,-17.88307311,25.81026681,,,,
River,-17.87997319,25.80091292,,,,
River,-17.87800390,25.79805328,,,,
River,-17.87642354,25.79725971,,,,
River,-17.87464151,25.79711464,,,,
River,-17.87403487,25.79661881,,,,
River,-17.87272886,25.79726721,,,,
River,-17.86627171,25.79707247,,,,
River,-17.86500530,25.79780800,,,,
River,-17.86466449,25.79714044,,,,
River,-17.86411524,25.79747159,,,,
River,-17.86267545,25.79768724,,,,
River,-17.86214740,25.79827359,,,,
River,-17.86043104,25.79805466,,,,
River,-17.85971368,25.79723574,,,,
River,-17.85875963,25.79657922,,,,
River,-17.85805069,25.79591429,,,,
River,-17.85779454,25.79353155,,,,
River,-17.85715237,25.79372244,,,,
River,-17.85633707,25.79083827,,,,
River,-17.85678317,25.79039627,,,,
River,-17.85662738,25.78870562,,,,
River,-17.85561498,25.78843685,,,,
River,-17.85596409,25.78749126,,,,
River,-17.85548433,25.78640109,,,,
River,-17.85481053,25.78450167,,,,
River,-17.85402279,25.78257484,,,,
River,-17.85379153,25.78139844,,,,
River,-17.85342765,25.77856753,,,,
River,-17.85345802,25.77670058,,,,
River,-17.85209060,25.77525958,,,,
River,-17.84964252,25.77556916,,,,
River,-17.84796342,25.77330279,,,,
River,-17.84556704,25.77274746,,,,
River,-17.84362388,25.77229716,,,,
River,-17.84227532,25.77185914,,,,
River,-17.84081851,25.76787838,,,,
River,-17.84141487,25.76500158,,,,
River,-17.84126969,25.76396191,,,,
River,-17.84301197,25.76135487,,,,
River,-17.84323550,25.76027634,,,,
River,-17.84440992,25.75554008,,,,
River,-17.84339940,25.75061700,,,,
River,-17.84288606,25.74674791,,,,
River,-17.84189534,25.74332397,,,,
River,-17.84044758,25.74184490,,,,
River,-17.8386693,25.74191668,,,,
River,-17.83813512,25.73654739,,,,
River,-17.83646679,25.73340964,,,,
River,-17.83442298,25.73013864,,,,
River,-17.83693549,25.72751738,,,,
River,-17.83965174,25.72373885,,,,
River,-17.84028375,25.72176762,,,,
River,-17.84143409,25.72235118,,,,
River,-17.84217673,25.72524894,,,,
River,-17.84519922,25.72781352,,,,
River,-17.84619040,25.73123825,,,,
River,-17.84561125,25.73226215,,,,
River,-17.84850684,25.73522058,,,,
River,-17.84974638,25.73917210,,,,
River,-17.85108774,25.74254501,,,,
River,-17.85375844,25.74516010,,,,
River,-17.85407612,25.74755534,,,,
River,-17.85351268,25.75139387,,,,
River,-17.85322218,25.75594353,,,,
River,-17.85171731,25.75672667,,,,
River,-17.85337986,25.76117863,,,,
River,-17.85138885,25.76503718,,,,
River,-17.85268049,25.76804077,,,,
River,-17.85470687,25.76849601,,,,
River,-17.85760533,25.77013830,,,,
River,-17.85871679,25.77448245,,,,
River,-17.86056766,25.77496328,,,,
River,-17.86216076,25.77754714,,,,
River,-17.86088469,25.77735792,,,,
River,-17.86515169,25.78124122,,,,
River,-17.86804495,25.78419849,,,,
River,-17.86958900,25.78641393,,,,
River,-17.87250163,25.79087045,,,,
River,-17.87687970,25.79154565,,,,
River,-17.88140384,25.79332610,,,,
River,-17.88396548,25.79783404,,,,
River,-17.88375612,25.80030553,,,,
River,-17.88591826,25.80449635,,,,
River,-17.89000873,25.80840591,,,,
River,-17.89743959,25.81595957,,,,
River,-17.89995212,25.82009998,,,,
River,-17.90138839,25.82420976,,,,
River,-17.90107140,25.82857532,,,,
River,-17.90065702,25.83220396,,,,
River,-17.90091449,25.83686163,,,,
River,-17.89973078,25.83872445,,,,
River,-17.90257451,25.84131515,,,,
River,-17.90757093,25.84396812,,,,
River,-17.91180331,25.84353944,,,,
River,-17.91435536,25.84391909,,,,
River,-17.91635207,25.84550676,,,,
River,-17.91872527,25.84701622,,,,
River,-17.92258229,25.84645421,,,,
River,-17.92512886,25.84814912,,,,
River,-17.92548312,25.85354425,,,,
River,-17.92622265,25.85644173,,,,
River,-17.92652389,25.85781889,,,,
River,-17.92765189,25.85741107,,,,
River,-17.92804810,25.85515853,,,,
River,-17.92840587,25.85262581,,,,
River,-17.92827436,25.85162861,,,,
River,-17.92868213,25.85105535,,,,
River,-17.92840607,25.85000881,,,,
River,-17.92899733,25.84926336,,,,
River,-17.92872531,25.84720099,,,,
River,-17.93018130,25.84625637,,,,
River,-17.93122063,25.84790647,,,,
River,-17.93175957,25.84991941,,,,
River,-17.93149308,25.85256618,,,,
River,-17.93182966,25.85511851,,,,
River,-17.93212100,25.85680889,,,,
River,-17.93205874,25.85841405,,,,
River,-17.93274968,25.85742763,,,,
River,-17.93381218,25.85565874,,,,
River,-17.93426204,25.85442924,,,,
River,-17.93458757,25.85329418,,,,
River,-17.93493365,25.85129330,,,,
River,-17.93500239,25.85027472,,,,
River,-17.93571442,25.84901244,,,,
River,-17.93662341,25.84722091,,,,
River,-17.93634532,25.84511280,,,,
River,-17.93751164,25.84479443,,,,
River,-17.93850326,25.84571711,,,,
River,-17.94003489,25.84519957,,,,
River,-17.94106602,25.84596875,,,,
River,-17.94236381,25.84527327,,,,
River,-17.94402942,25.84507608,,,,
River,-17.94462262,25.84695251,,,,
River,-17.94491592,25.84865236,,,,
River,-17.94568118,25.85079060,,,,
River,-17.94697197,25.85118000,,,,
River,-17.94727356,25.85294589,,,,
River,-17.94678099,25.85338272,,,,
River,-17.94748899,25.85457969,,,,
River,-17.94753403,25.85544253,,,,
River,-17.94827067,25.85634249,,,,
River,-17.94939401,25.85862681,,,,
River,-17.95005888,25.86003939,,,,
River,-17.95046638,25.86105810,,,,
River,-17.95157460,25.86108313,,,,
