"Time","Status","Speed","Latitude","Longitude","Altitude","Heading","Place","Location","Temperature","Voltage","Commodity","CumHours","Odometer","IO1","IO2","IO3","IO4"
"2019-04-30 23:00:32","Moving",0,-18.2502666666667,26.2739666666667,0,000°N,"3512.2 km SE GPS Origin","  7.6 km NE Zanguja(ZIM);","25","7","","","","","","",""
"2019-04-30 22:00:32","Moving",0,-18.24995,26.2736,0,000°N,"3512.2 km SE GPS Origin","  7.6 km NE Zanguja(ZIM);","25","7","","","","","","",""
"2019-04-30 21:00:32","Moving",0,-18.2496333333333,26.27425,0,000°N,"3512.2 km SE GPS Origin","  7.7 km NE Zanguja(ZIM);","25","7","","","","","","",""
"2019-04-30 20:00:32","Moving",0,-18.2481,26.2738,0,000°N,"3512.1 km SE GPS Origin","  7.8 km NE Zanguja(ZIM);","26","7","","","","","","",""
"2019-04-30 19:00:32","Moving",0,-18.2471333333333,26.27345,0,000°N,"3512 km SE GPS Origin","  7.8 km NE Zanguja(ZIM);","28","7","","","","","","",""
"2019-04-30 18:00:32","Moving",0,-18.2476166666667,26.2721166666667,0,000°N,"3511.9 km SE GPS Origin","  7.7 km NE Zanguja(ZIM);","29","7","","","","","","",""
"2019-04-30 17:00:32","Moving",0,-18.2515166666667,26.2746333333333,0,000°N,"3512.4 km SE GPS Origin","  7.5 km NE Zanguja(ZIM);","31","7","","","","","","",""
"2019-04-30 16:00:32","Moving",0,-18.2533833333333,26.2753833333333,0,000°N,"3512.6 km SE GPS Origin","  7.4 km NE Zanguja(ZIM);","35","7","","","","","","",""
"2019-04-30 15:00:32","Moving",0,-18.25345,26.27495,0,000°N,"3512.5 km SE GPS Origin","  7.4 km NE Zanguja(ZIM);","35","7","","","","","","",""
"2019-04-30 14:00:32","Moving",0,-18.2536833333333,26.27345,0,000°N,"3512.4 km SE GPS Origin","  7.3 km NE Zanguja(ZIM);","33","7","","","","","","",""
"2019-04-30 13:00:57","Moving",0,-18.2539666666667,26.2735166666667,0,000°N,"3512.4 km SE GPS Origin","  7.2 km NE Zanguja(ZIM);","34","7","","","","","","",""
"2019-04-30 12:00:32","Moving",0,-18.2543833333333,26.2741833333333,0,000°N,"3512.5 km SE GPS Origin","  7.2 km NE Zanguja(ZIM);","34","7","","","","","","",""
"2019-04-30 11:00:32","Moving",0,-18.2537833333333,26.2748666666667,0,000°N,"3512.5 km SE GPS Origin","  7.3 km NE Zanguja(ZIM);","32","7","","","","","","",""
"2019-04-30 10:00:32","Moving",0,-18.2552,26.2729833333333,0,000°N,"3512.4 km SE GPS Origin","  7.1 km NE Zanguja(ZIM);","31","7","","","","","","",""
"2019-04-30 09:00:32","Moving",0,-18.25725,26.269,0,000°N,"3512.2 km SE GPS Origin","  6.7 km NE Zanguja(ZIM);","26","7","","","","","","",""
"2019-04-30 08:00:32","Moving",0,-18.2565,26.2685,0,000°N,"3512.1 km SE GPS Origin","  6.7 km NE Zanguja(ZIM);","23","7","","","","","","",""
"2019-04-30 07:00:32","Moving",0,-18.2552166666667,26.2671,0,000°N,"3511.9 km SE GPS Origin","  6.7 km NE Zanguja(ZIM);","21","7","","","","","","",""
"2019-04-30 06:00:32","Moving",0,-18.2545833333333,26.2681333333333,0,000°N,"3512 km SE GPS Origin","  6.8 km NE Zanguja(ZIM);","22","7","","","","","","",""
"2019-04-30 05:00:32","Moving",0,-18.25335,26.26905,0,000°N,"3512 km SE GPS Origin","  7 km NE Zanguja(ZIM);","22","7","","","","","","",""
