"Time","Status","Speed","Latitude","Longitude","Altitude","Heading","Place","Location","Temperature","Voltage","Commodity","CumHours","Odometer","IO1","IO2","IO3","IO4"
"2019-07-31 23:00:32","Moving",0,-18.0878166666667,26.3756166666667,0,000°N,"3511.8 km SE GPS Origin","  4 km S Mugayi(ZIM);","20","7","","","","","","",""
"2019-07-31 22:00:32","Moving",0,-18.08935,26.37455,0,000°N,"3511.8 km SE GPS Origin","  4.2 km S Mugayi(ZIM);","22","7","","","","","","",""
"2019-07-31 21:00:32","Moving",0,-18.08945,26.3718833333333,0,000°N,"3511.6 km SE GPS Origin","  4.2 km S Mugayi(ZIM);","24","7","","","","","","",""
"2019-07-31 20:00:32","Moving",0,-18.0890666666667,26.36855,0,000°N,"3511.3 km SE GPS Origin","  4.3 km S Mugayi(ZIM);","27","7","","","","","","",""
"2019-07-31 19:00:32","Moving",0,-18.0905,26.3546833333333,0,000°N,"3510.1 km SE GPS Origin","  4.9 km SW Mugayi(ZIM);","30","7","","","","","","",""
"2019-07-31 18:00:32","Moving",0,-18.098,26.3462,0,000°N,"3509.8 km SE GPS Origin","  6.1 km SW Mugayi(ZIM);","33","7","","","","","","",""
"2019-07-31 17:00:32","Moving",0,-18.0967166666667,26.3463166666667,0,000°N,"3509.7 km SE GPS Origin","  6 km SW Mugayi(ZIM);","35","7","","","","","","",""
"2019-07-31 16:00:57","Moving",0,-18.0971166666667,26.34225,0,000°N,"3509.4 km SE GPS Origin","  6.3 km SW Mugayi(ZIM);","34","7","","","","","","",""
"2019-07-31 15:00:32","Moving",0,-18.0965,26.3398333333333,0,000°N,"3509.1 km SE GPS Origin","  6.4 km SW Mugayi(ZIM);","35","7","","","","","","",""
"2019-07-31 14:00:32","Moving",0,-18.0964666666667,26.3377166666667,0,000°N,"3508.9 km SE GPS Origin","  6.5 km SW Mugayi(ZIM);","36","7","","","","","","",""
"2019-07-31 13:00:32","Moving",0,-18.0992333333333,26.3368833333333,0,000°N,"3509 km SE GPS Origin","  6.8 km SW Mugayi(ZIM);","33","7","","","","","","",""
"2019-07-31 12:00:32","Moving",0,-18.09915,26.3358333333333,0,000°N,"3508.9 km SE GPS Origin","  6.9 km SW Mugayi(ZIM);","32","7","","","","","","",""
"2019-07-31 11:00:32","Moving",0,-18.0990666666667,26.3356,0,000°N,"3508.9 km SE GPS Origin","  6.9 km SW Mugayi(ZIM);","30","7","","","","","","",""
"2019-07-31 10:00:32","Moving",0,-18.0983666666667,26.3343333333333,0,000°N,"3508.7 km SE GPS Origin","  6.9 km SW Mugayi(ZIM);","24","7","","","","","","",""
"2019-07-31 09:00:32","Moving",0,-18.0995333333333,26.3333166666667,0,000°N,"3508.7 km SE GPS Origin","  7.1 km SW Mugayi(ZIM);","18","7","","","","","","",""
"2019-07-31 08:00:32","Moving",0,-18.09715,26.3346,0,000°N,"3508.7 km SE GPS Origin","  6.8 km SW Mugayi(ZIM);","13","7","","","","","","",""
"2019-07-31 07:00:32","Moving",0,-18.0957666666667,26.3361,0,000°N,"3508.7 km SE GPS Origin","  6.6 km SW Mugayi(ZIM);","13","7","","","","","","",""
"2019-07-31 06:00:32","Moving",0,-18.0958166666667,26.3361666666667,0,000°N,"3508.7 km SE GPS Origin","  6.6 km SW Mugayi(ZIM);","13","7","","","","","","",""
"2019-07-31 05:00:32","Moving",0,-18.0955666666667,26.3375333333333,0,000°N,"3508.8 km SE GPS Origin","  6.4 km SW Mugayi(ZIM);","14","7","","","","","","",""
"2019-07-31 04:00:32","Moving",0,-18.09535,26.3393666666667,0,000°N,"3509 km SE GPS Origin","  6.3 km SW Mugayi(ZIM);","14","7","","","","","","",""
"2019-07-31 03:00:32","Moving",0,-18.0940166666667,26.3398,0,000°N,"3509 km SE GPS Origin","  6.2 km SW Mugayi(ZIM);","16","7","","","","","","",""
"2019-07-31 02:00:33","Moving",0,-18.09395,26.3402,0,000°N,"3509 km SE GPS Origin","  6.1 km SW Mugayi(ZIM);","17","7","","","","","","",""
"2019-07-31 01:00:32","Moving",0,-18.0939,26.3401,0,000°N,"3509 km SE GPS Origin","  6.1 km SW Mugayi(ZIM);","17","7","","","","","","",""
