"Time","Status","Speed","Latitude","Longitude","Altitude","Heading","Place","Location","Temperature","Voltage","Commodity","CumHours","Odometer","IO1","IO2","IO3","IO4"
"2019-06-30 23:00:32","Moving",0,-18.1388333333333,26.4741666666667,0,000°N,"3523.7 km SE GPS Origin","  10.5 km NW Mwemba(ZIM);","21","7","","","","","","",""
"2019-06-30 22:00:32","Moving",0,-18.1381666666667,26.4741666666667,0,000°N,"3523.6 km SE GPS Origin","  10.6 km NW Mwemba(ZIM);","22","7","","","","","","",""
"2019-06-30 21:00:32","Moving",0,-18.13825,26.4744166666667,0,000°N,"3523.6 km SE GPS Origin","  10.6 km NW Mwemba(ZIM);","24","7","","","","","","",""
"2019-06-30 20:00:32","Moving",0,-18.13605,26.4753166666667,0,000°N,"3523.6 km SE GPS Origin","  10.6 km NW Mwemba(ZIM);","26","7","","","","","","",""
"2019-06-30 19:00:32","Moving",0,-18.1341833333333,26.47835,0,000°N,"3523.8 km SE GPS Origin","  10.4 km NW Mwemba(ZIM);","28","7","","","","","","",""
"2019-06-30 18:00:32","Moving",0,-18.1338166666667,26.4797833333333,0,000°N,"3523.9 km SE GPS Origin","  10.3 km NW Mwemba(ZIM);","31","7","","","","","","",""
"2019-06-30 17:00:32","Moving",0,-18.1402,26.46605,0,000°N,"3523 km SE GPS Origin","  11.2 km W Mwemba(ZIM);","34","7","","","","","","",""
"2019-06-30 16:00:32","Moving",0,-18.1432666666667,26.4617333333333,0,000°N,"3522.8 km SE GPS Origin","  11.5 km W Mwemba(ZIM);","35","7","","","","","","",""
"2019-06-30 15:00:32","Moving",0,-18.1431666666667,26.4623333333333,0,000°N,"3522.8 km SE GPS Origin","  11.4 km W Mwemba(ZIM);","33","7","","","","","","",""
"2019-06-30 14:00:32","Moving",0,-18.1446333333333,26.4580833333333,0,000°N,"3522.6 km SE GPS Origin","  11.7 km W Mwemba(ZIM);","31","7","","","","","","",""
"2019-06-30 13:00:32","Moving",0,-18.1447666666667,26.4576166666667,0,000°N,"3522.5 km SE GPS Origin","  11.8 km W Mwemba(ZIM);","30","7","","","","","","",""
"2019-06-30 12:00:32","Moving",0,-18.1447,26.4575833333333,0,000°N,"3522.5 km SE GPS Origin","  11.8 km W Mwemba(ZIM);","29","7","","","","","","",""
"2019-06-30 11:00:32","Moving",0,-18.1439333333333,26.4585166666667,0,000°N,"3522.5 km SE GPS Origin","  11.7 km W Mwemba(ZIM);","26","7","","","","","","",""
"2019-06-30 10:00:32","Moving",0,-18.1461833333333,26.4536833333333,0,000°N,"3522.2 km SE GPS Origin","  12.1 km W Mwemba(ZIM);","22","7","","","","","","",""
"2019-06-30 09:00:32","Moving",0,-18.14595,26.4487666666667,0,000°N,"3521.8 km SE GPS Origin","  12.6 km W Mwemba(ZIM);","18","7","","","","","","",""
"2019-06-30 08:00:32","Moving",0,-18.1400333333333,26.4422666666667,0,000°N,"3520.9 km SE GPS Origin","  12 km SE Mugayi(ZIM);","14","7","","","","","","",""
"2019-06-30 07:00:32","Moving",0,-18.1444833333333,26.4277833333333,0,000°N,"3519.8 km SE GPS Origin","  11.6 km S Mugayi(ZIM);","13","7","","","","","","",""
"2019-06-30 06:00:32","Moving",0,-18.1471333333333,26.4245166666667,0,000°N,"3519.7 km SE GPS Origin","  11.7 km S Mugayi(ZIM);","14","7","","","","","","",""
"2019-06-30 05:00:33","Moving",0,-18.1476333333333,26.4237333333333,0,000°N,"3519.6 km SE GPS Origin","  11.7 km S Mugayi(ZIM);","14","7","","","","","","",""
"2019-06-30 04:00:32","Moving",0,-18.1477,26.4237833333333,0,000°N,"3519.6 km SE GPS Origin","  11.7 km S Mugayi(ZIM);","14","7","","","","","","",""
"2019-06-30 03:00:32","Moving",0,-18.1480666666667,26.4228833333333,0,000°N,"3519.6 km SE GPS Origin","  11.7 km S Mugayi(ZIM);","16","7","","","","","","",""
"2019-06-30 00:00:32","Moving",0,-18.1535,26.4136333333333,0,000°N,"3519.1 km SE GPS Origin","  11.9 km S Mugayi(ZIM);","19","7","","","","","","",""
"2019-06-29 23:00:32","Moving",0,-18.1535333333333,26.40375,0,000°N,"3518.2 km SE GPS Origin","  11.6 km S Mugayi(ZIM);","21","7","","","","","","",""
"2019-06-29 22:00:32","Moving",0,-18.1557,26.3977,0,000°N,"3517.8 km SE GPS Origin","  11.7 km S Mugayi(ZIM);","22","7","","","","","","",""
"2019-06-29 21:00:32","Moving",0,-18.1563666666667,26.38495,0,000°N,"3516.7 km SE GPS Origin","  11.6 km S Mugayi(ZIM);","23","7","","","","","","",""
"2019-06-29 20:00:32","Moving",0,-18.1547666666667,26.3694166666667,0,000°N,"3515.2 km SE GPS Origin","  11.5 km S Mugayi(ZIM);","25","7","","","","","","",""
"2019-06-29 19:00:32","Moving",0,-18.1555833333333,26.3681166666667,0,000°N,"3515.1 km SE GPS Origin","  11.6 km S Mugayi(ZIM);","28","7","","","","","","",""
"2019-06-29 18:01:44","Moving",0,-18.1599166666667,26.3624333333333,0,000°N,"3514.9 km SE GPS Origin","  12.1 km S Mugayi(ZIM);","31","7","","","","","","",""
"2019-06-29 17:00:32","Moving",0,-18.1512333333333,26.3548666666667,0,000°N,"3513.7 km SE GPS Origin","  11.3 km S Mugayi(ZIM);","33","7","","","","","","",""
"2019-06-29 16:00:32","Moving",0,-18.1447,26.34935,0,000°N,"3512.8 km SE GPS Origin","  10.7 km S Mugayi(ZIM);","35","7","","","","","","",""
"2019-06-29 15:00:32","Moving",0,-18.1441166666667,26.34865,0,000°N,"3512.7 km SE GPS Origin","  10.7 km S Mugayi(ZIM);","35","7","","","","","","",""
"2019-06-29 14:00:32","Moving",0,-18.14705,26.3504833333333,0,000°N,"3513 km SE GPS Origin","  10.9 km S Mugayi(ZIM);","36","7","","","","","","",""
"2019-06-29 13:00:57","Moving",0,-18.1489166666667,26.3642833333333,0,000°N,"3514.4 km SE GPS Origin","  10.9 km S Mugayi(ZIM);","35","7","","","","","","",""
"2019-06-29 12:00:32","Moving",0,-18.1394833333333,26.3831166666667,0,000°N,"3515.5 km SE GPS Origin","  9.8 km S Mugayi(ZIM);","33","7","","","","","","",""
"2019-06-29 11:00:33","Moving",0,-18.1230666666667,26.3830666666667,0,000°N,"3514.5 km SE GPS Origin","  7.9 km S Mugayi(ZIM);","29","7","","","","","","",""
"2019-06-29 10:00:32","Moving",0,-18.1198,26.38075,0,000°N,"3514.1 km SE GPS Origin","  7.6 km S Mugayi(ZIM);","25","7","","","","","","",""
"2019-06-29 09:00:32","Moving",0,-18.1201833333333,26.3785,0,000°N,"3514 km SE GPS Origin","  7.6 km S Mugayi(ZIM);","21","7","","","","","","",""
"2019-06-29 08:00:33","Moving",0,-18.1209,26.37915,0,000°N,"3514.1 km SE GPS Origin","  7.7 km S Mugayi(ZIM);","18","7","","","","","","",""
"2019-06-29 07:00:32","Moving",0,-18.1213833333333,26.3808,0,000°N,"3514.2 km SE GPS Origin","  7.7 km S Mugayi(ZIM);","17","7","","","","","","",""
"2019-06-29 06:00:32","Moving",0,-18.1214166666667,26.3814,0,000°N,"3514.3 km SE GPS Origin","  7.7 km S Mugayi(ZIM);","18","7","","","","","","",""
"2019-06-29 05:00:47","Moving",0,-18.1209333333333,26.3818666666667,0,000°N,"3514.3 km SE GPS Origin","  7.7 km S Mugayi(ZIM);","19","7","","","","","","",""
