"Time","Status","Speed","Latitude","Longitude","Altitude","Heading","Place","Location","Temperature","Voltage","Commodity","CumHours","Odometer","IO1","IO2","IO3","IO4"
"2019-05-31 23:00:32","Moving",0,-18.00505,26.4462666666667,0,000°N,"3513.4 km SE GPS Origin","  8.9 km NE Mugayi(ZIM);","21","7","","","","","","",""
"2019-05-31 22:00:32","Moving",0,-18.0049166666667,26.44665,0,000°N,"3513.4 km SE GPS Origin","  9 km NE Mugayi(ZIM);","22","7","","","","","","",""
"2019-05-31 21:00:33","Moving",0,-18.0052,26.448,0,000°N,"3513.5 km SE GPS Origin","  9.1 km NE Mugayi(ZIM);","24","7","","","","","","",""
"2019-05-31 20:00:32","Moving",0,-18.00515,26.4479833333333,0,000°N,"3513.5 km SE GPS Origin","  9.1 km NE Mugayi(ZIM);","25","7","","","","","","",""
"2019-05-31 19:00:32","Moving",0,-18.00495,26.449,0,000°N,"3513.6 km SE GPS Origin","  9.2 km NE Mugayi(ZIM);","27","7","","","","","","",""
"2019-05-31 18:00:32","Moving",0,-18.0046833333333,26.4530666666667,0,000°N,"3513.9 km SE GPS Origin","  9.5 km NE Mugayi(ZIM);","30","7","","","","","","",""
"2019-05-31 17:00:32","Moving",0,-18.0034833333333,26.4581166666667,0,000°N,"3514.3 km SE GPS Origin","  10.1 km NE Mugayi(ZIM);","33","7","","","","","","",""
"2019-05-31 16:00:32","Moving",0,-18.0039333333333,26.4577333333333,0,000°N,"3514.3 km SE GPS Origin","  10 km NE Mugayi(ZIM);","34","7","","","","","","",""
"2019-05-31 15:00:32","Moving",0,-18.0053666666667,26.4557666666667,0,000°N,"3514.2 km SE GPS Origin","  9.7 km NE Mugayi(ZIM);","36","7","","","","","","",""
"2019-05-31 14:00:32","Moving",0,-18.0110166666667,26.4527166666667,0,000°N,"3514.3 km SE GPS Origin","  9.1 km E Mugayi(ZIM);","33","7","","","","","","",""
"2019-05-31 13:00:32","Moving",0,-18.0078,26.4465833333333,0,000°N,"3513.5 km SE GPS Origin","  8.8 km NE Mugayi(ZIM);","30","7","","","","","","",""
"2019-05-31 12:00:32","Moving",0,-18.00835,26.44295,0,000°N,"3513.2 km SE GPS Origin","  8.4 km NE Mugayi(ZIM);","31","7","","","","","","",""
"2019-05-31 11:00:32","Moving",0,-18.0100333333333,26.4410166666667,0,000°N,"3513.2 km SE GPS Origin","  8.1 km NE Mugayi(ZIM);","28","7","","","","","","",""
"2019-05-31 10:01:03","Moving",0,-18.0124333333333,26.4386833333333,0,000°N,"3513.1 km SE GPS Origin","  7.8 km NE Mugayi(ZIM);","25","7","","","","","","",""
"2019-05-31 09:00:32","Moving",0,-18.0125666666667,26.4387166666667,0,000°N,"3513.1 km SE GPS Origin","  7.8 km NE Mugayi(ZIM);","21","7","","","","","","",""
"2019-05-31 08:00:32","Moving",0,-18.0122666666667,26.4372166666667,0,000°N,"3513 km SE GPS Origin","  7.7 km NE Mugayi(ZIM);","16","7","","","","","","",""
"2019-05-31 07:00:32","Moving",0,-18.0098,26.4412333333333,0,000°N,"3513.2 km SE GPS Origin","  8.2 km NE Mugayi(ZIM);","17","7","","","","","","",""
"2019-05-31 06:00:32","Moving",0,-18.00955,26.4393666666667,0,000°N,"3513 km SE GPS Origin","  8 km NE Mugayi(ZIM);","18","7","","","","","","",""
"2019-05-31 05:00:32","Moving",0,-18.0084333333333,26.4339166666667,0,000°N,"3512.4 km SE GPS Origin","  7.6 km NE Mugayi(ZIM);","18","7","","","","","","",""
"2019-05-31 04:00:32","Moving",0,-18.0086166666667,26.4333666666667,0,000°N,"3512.4 km SE GPS Origin","  7.6 km NE Mugayi(ZIM);","17","7","","","","","","",""
"2019-05-31 03:00:32","Moving",0,-18.00585,26.4268666666667,0,000°N,"3511.7 km SE GPS Origin","  7.3 km NE Mugayi(ZIM);","18","7","","","","","","",""
"2019-05-31 02:00:32","Moving",0,-18.0058166666667,26.4268833333333,0,000°N,"3511.6 km SE GPS Origin","  7.3 km NE Mugayi(ZIM);","17","7","","","","","","",""
"2019-05-31 01:00:32","Moving",0,-18.0063,26.4250166666667,0,000°N,"3511.5 km SE GPS Origin","  7.1 km NE Mugayi(ZIM);","18","7","","","","","","",""
"2019-05-31 00:00:51","Moving",0,-18.01025,26.4188666666667,0,000°N,"3511.2 km SE GPS Origin","  6.3 km NE Mugayi(ZIM);","19","7","","","","","","",""
"2019-05-30 23:00:32","Moving",0,-18.0127166666667,26.4119666666667,0,000°N,"3510.7 km SE GPS Origin","  5.6 km NE Mugayi(ZIM);","20","7","","","","","","",""
"2019-05-30 22:00:32","Moving",0,-18.0128,26.4113833333333,0,000°N,"3510.7 km SE GPS Origin","  5.6 km NE Mugayi(ZIM);","21","7","","","","","","",""
"2019-05-30 21:00:32","Moving",0,-18.0129,26.4113,0,000°N,"3510.7 km SE GPS Origin","  5.6 km NE Mugayi(ZIM);","23","7","","","","","","",""
"2019-05-30 20:00:32","Moving",0,-18.0119833333333,26.4137333333333,0,000°N,"3510.8 km SE GPS Origin","  5.8 km NE Mugayi(ZIM);","26","7","","","","","","",""
"2019-05-30 19:00:32","Moving",0,-18.0122333333333,26.42095,0,000°N,"3511.5 km SE GPS Origin","  6.3 km NE Mugayi(ZIM);","29","7","","","","","","",""
