Index,Tag,Station,Type,SW Ver.,Time Stamp,Log Interval,Latitude,Longitude,Altitude,DOP,Speed,Battery,Temperature,Light Intensity,Movement,Accelerometer,Alarm,RSSI,Coverage,Retries,Ack Source
1,Bull 15: 1442066,AWTIMCVAP243,IM-SAT Tag,(-),1/9/2021 04:00,(-),-18.071032°,25.777400°,(-),<10 meters,0 km/h,7 Volt,18°C,(-),N,"[(-),(-),(-)]",N,(-),(-),(-),
2,Bull 15: 1442066,AWTIMCVAP243,IM-SAT Tag,(-),1/9/2021 05:00,(-),-18.071032°,25.777365°,(-),<10 meters,0 km/h,7 Volt,18°C,(-),N,"[(-),(-),(-)]",N,(-),(-),(-),
3,Bull 15: 1442066,AWTIMCVAP243,IM-SAT Tag,(-),1/9/2021 06:00,(-),-18.069082°,25.778083°,(-),<10 meters,0 km/h,7 Volt,18°C,(-),N,"[(-),(-),(-)]",N,(-),(-),(-),
4,Bull 15: 1442066,AWTIMCVAP243,IM-SAT Tag,(-),1/9/2021 07:00,(-),-18.067133°,25.778150°,(-),<10 meters,0 km/h,7 Volt,19°C,(-),N,"[(-),(-),(-)]",N,(-),(-),(-),
5,Bull 15: 1442066,AWTIMCVAP243,IM-SAT Tag,(-),1/9/2021 08:00,(-),-18.065000°,25.779583°,(-),<10 meters,0 km/h,7 Volt,21°C,(-),N,"[(-),(-),(-)]",N,(-),(-),(-),
6,Bull 15: 1442066,AWTIMCVAP243,IM-SAT Tag,(-),1/9/2021 09:00,(-),-18.060982°,25.777933°,(-),<10 meters,0 km/h,7 Volt,26°C,(-),N,"[(-),(-),(-)]",N,(-),(-),(-),
7,Bull 15: 1442066,AWTIMCVAP243,IM-SAT Tag,(-),1/9/2021 10:00,(-),-18.058632°,25.778332°,(-),<10 meters,0 km/h,7 Volt,32°C,(-),N,"[(-),(-),(-)]",N,(-),(-),(-),
8,Bull 15: 1442066,AWTIMCVAP243,IM-SAT Tag,(-),1/9/2021 11:00,(-),-18.058415°,25.778283°,(-),<10 meters,0 km/h,7 Volt,34°C,(-),N,"[(-),(-),(-)]",N,(-),(-),(-),
9,Bull 15: 1442066,AWTIMCVAP243,IM-SAT Tag,(-),1/9/2021 12:00,(-),-18.058450°,25.778300°,(-),<10 meters,0 km/h,7 Volt,35°C,(-),N,"[(-),(-),(-)]",N,(-),(-),(-),
10,Bull 15: 1442066,AWTIMCVAP243,IM-SAT Tag,(-),1/9/2021 13:00,(-),-18.055615°,25.772432°,(-),<10 meters,0 km/h,7 Volt,37°C,(-),N,"[(-),(-),(-)]",N,(-),(-),(-),
11,Bull 15: 1442066,AWTIMCVAP243,IM-SAT Tag,(-),1/9/2021 14:00,(-),-18.055667°,25.772417°,(-),<10 meters,0 km/h,7 Volt,37°C,(-),N,"[(-),(-),(-)]",N,(-),(-),(-),
12,Bull 15: 1442066,AWTIMCVAP243,IM-SAT Tag,(-),1/9/2021 15:00,(-),-18.055632°,25.772448°,(-),<10 meters,0 km/h,7 Volt,35°C,(-),N,"[(-),(-),(-)]",N,(-),(-),(-),
