Index,Tag,Station,Type,SW Ver.,Time Stamp,Log Interval,Latitude,Longitude,Altitude,DOP,Speed,Battery,Temperature,Light Intensity,Movement,Accelerometer,Alarm,RSSI,Coverage,Retries,Ack Source
1,Bull 8: 1315832,AWTIMCVAP243,IM-SAT Tag,(-),1/9/2021 05:00,(-),-17.870217°,25.838932°,(-),<10 meters,0 km/h,7 Volt,19°C,(-),N,"[(-),(-),(-)]",N,(-),(-),(-),
2,Bull 8: 1315832,AWTIMCVAP243,IM-SAT Tag,(-),1/9/2021 06:00,(-),-17.871748°,25.837832°,(-),<10 meters,0 km/h,7 Volt,19°C,(-),N,"[(-),(-),(-)]",N,(-),(-),(-),
3,Bull 8: 1315832,AWTIMCVAP243,IM-SAT Tag,(-),1/9/2021 07:00,(-),-17.875532°,25.835998°,(-),<10 meters,0 km/h,7 Volt,18°C,(-),N,"[(-),(-),(-)]",N,(-),(-),(-),
4,Bull 8: 1315832,AWTIMCVAP243,IM-SAT Tag,(-),1/9/2021 08:00,(-),-17.875883°,25.835117°,(-),<10 meters,0 km/h,7 Volt,21°C,(-),N,"[(-),(-),(-)]",N,(-),(-),(-),
5,Bull 8: 1315832,AWTIMCVAP243,IM-SAT Tag,(-),1/9/2021 09:00,(-),-17.877215°,25.833600°,(-),<10 meters,0 km/h,7 Volt,22°C,(-),N,"[(-),(-),(-)]",N,(-),(-),(-),
6,Bull 8: 1315832,AWTIMCVAP243,IM-SAT Tag,(-),1/9/2021 10:00,(-),-17.884117°,25.832065°,(-),<10 meters,0 km/h,7 Volt,29°C,(-),N,"[(-),(-),(-)]",N,(-),(-),(-),
7,Bull 8: 1315832,AWTIMCVAP243,IM-SAT Tag,(-),1/9/2021 11:00,(-),0.000000°,0.000000°,(-),<10 meters,0 km/h,7 Volt,29°C,(-),Y,"[(-),(-),(-)]",N,(-),(-),(-),
8,Bull 8: 1315832,AWTIMCVAP243,IM-SAT Tag,(-),1/9/2021 12:00,(-),-17.888617°,25.837450°,(-),<10 meters,0 km/h,7 Volt,30°C,(-),N,"[(-),(-),(-)]",N,(-),(-),(-),
9,Bull 8: 1315832,AWTIMCVAP243,IM-SAT Tag,(-),1/9/2021 13:00,(-),-17.892215°,25.832967°,(-),<10 meters,0 km/h,7 Volt,34°C,(-),N,"[(-),(-),(-)]",N,(-),(-),(-),
10,Bull 8: 1315832,AWTIMCVAP243,IM-SAT Tag,(-),1/9/2021 14:00,(-),-17.893867°,25.827265°,(-),<10 meters,0 km/h,7 Volt,39°C,(-),N,"[(-),(-),(-)]",N,(-),(-),(-),
11,Bull 8: 1315832,AWTIMCVAP243,IM-SAT Tag,(-),1/9/2021 15:00,(-),-17.895150°,25.831150°,(-),<10 meters,0 km/h,7 Volt,38°C,(-),N,"[(-),(-),(-)]",N,(-),(-),(-),
12,Bull 8: 1315832,AWTIMCVAP243,IM-SAT Tag,(-),1/9/2021 16:00,(-),-17.895648°,25.830517°,(-),<10 meters,0 km/h,7 Volt,36°C,(-),N,"[(-),(-),(-)]",N,(-),(-),(-),
13,Bull 8: 1315832,AWTIMCVAP243,IM-SAT Tag,(-),1/9/2021 17:00,(-),-17.893733°,25.824850°,(-),<10 meters,0 km/h,7 Volt,35°C,(-),N,"[(-),(-),(-)]",N,(-),(-),(-),
14,Bull 8: 1315832,AWTIMCVAP243,IM-SAT Tag,(-),1/9/2021 18:00,(-),-17.892548°,25.821283°,(-),<10 meters,0 km/h,7 Volt,34°C,(-),N,"[(-),(-),(-)]",N,(-),(-),(-),
15,Bull 8: 1315832,AWTIMCVAP243,IM-SAT Tag,(-),1/9/2021 19:00,(-),-17.891465°,25.821617°,(-),<10 meters,0 km/h,7 Volt,31°C,(-),N,"[(-),(-),(-)]",N,(-),(-),(-),
